date,ninsee,no2,o3,pm10
01/02/2018,0,41,32,23
01/02/2018,75,37,27,21
01/02/2018,77,41,32,20
01/02/2018,78,30,31,20
01/02/2018,91,37,31,21
01/02/2018,92,34,29,21
01/02/2018,93,41,29,20
01/02/2018,94,41,29,23
01/02/2018,95,35,32,20
01/02/2018,75101,33,26,20
01/02/2018,75102,34,26,20
01/02/2018,75103,33,26,20
01/02/2018,75104,33,26,20
01/02/2018,75105,32,27,20
01/02/2018,75106,32,27,20
01/02/2018,75107,33,27,20
01/02/2018,75108,35,27,20
01/02/2018,75109,35,27,20
01/02/2018,75110,35,27,20
01/02/2018,75111,34,27,20
01/02/2018,75112,37,27,22
01/02/2018,75113,32,28,22
01/02/2018,75114,32,28,22
01/02/2018,75115,32,28,20
01/02/2018,75116,34,28,20
01/02/2018,75117,35,27,20
01/02/2018,75118,36,28,20
01/02/2018,75119,34,28,19
01/02/2018,75120,34,27,20
01/02/2018,77001,10,31,15
01/02/2018,77002,20,29,19
01/02/2018,77003,8,31,15
01/02/2018,77004,33,28,19
01/02/2018,77005,37,28,20
01/02/2018,77006,16,30,15
01/02/2018,77007,30,28,19
01/02/2018,77008,19,29,20
01/02/2018,77009,8,31,15
01/02/2018,77010,30,28,19
01/02/2018,77011,8,32,15
01/02/2018,77012,16,29,19
01/02/2018,77013,21,29,19
01/02/2018,77014,16,30,15
01/02/2018,77015,12,29,19
01/02/2018,77016,7,32,15
01/02/2018,77018,33,28,20
01/02/2018,77019,13,31,17
01/02/2018,77020,18,29,19
01/02/2018,77021,12,31,17
01/02/2018,77022,22,29,15
01/02/2018,77023,23,29,20
01/02/2018,77024,13,28,19
01/02/2018,77025,13,30,17
01/02/2018,77026,15,29,19
01/02/2018,77027,10,31,15
01/02/2018,77028,21,29,19
01/02/2018,77029,30,28,19
01/02/2018,77030,14,28,19
01/02/2018,77031,29,28,19
01/02/2018,77032,17,29,19
01/02/2018,77033,17,29,19
01/02/2018,77034,31,28,19
01/02/2018,77035,10,32,15
01/02/2018,77036,17,29,19
01/02/2018,77037,26,29,17
01/02/2018,77038,32,28,17
01/02/2018,77039,33,28,19
01/02/2018,77040,31,28,17
01/02/2018,77041,9,31,14
01/02/2018,77042,19,29,19
01/02/2018,77043,13,28,19
01/02/2018,77044,28,28,19
01/02/2018,77045,8,32,15
