date,ninsee,no2,o3,pm10
01/01/2018,0,16,36,20
01/01/2018,75,16,32,18
01/01/2018,77,10,37,20
01/01/2018,78,10,36,18
01/01/2018,91,10,37,20
01/01/2018,92,12,34,20
01/01/2018,93,14,33,18
01/01/2018,94,14,33,20
01/01/2018,95,9,36,16
01/01/2018,75101,15,30,17
01/01/2018,75102,15,29,17
01/01/2018,75103,16,30,19
01/01/2018,75104,16,30,19
01/01/2018,75105,15,30,19
01/01/2018,75106,14,30,19
01/01/2018,75107,14,31,17
01/01/2018,75108,14,30,17
01/01/2018,75109,14,29,17
01/01/2018,75110,16,29,19
01/01/2018,75111,16,30,19
01/01/2018,75112,17,32,19
01/01/2018,75113,15,31,19
01/01/2018,75114,13,32,19
01/01/2018,75115,12,32,19
01/01/2018,75116,13,33,17
01/01/2018,75117,13,30,17
01/01/2018,75118,14,28,19
01/01/2018,75119,15,30,19
01/01/2018,75120,16,30,19
01/01/2018,77001,4,38,17
01/01/2018,77002,9,34,17
01/01/2018,77003,6,38,19
01/01/2018,77004,7,34,19
01/01/2018,77005,8,33,19
01/01/2018,77006,5,37,17
01/01/2018,77007,7,34,19
01/01/2018,77008,9,34,17
01/01/2018,77009,8,38,19
01/01/2018,77010,8,34,19
01/01/2018,77011,8,38,19
01/01/2018,77012,10,35,17
01/01/2018,77013,9,34,17
01/01/2018,77014,4,37,17
01/01/2018,77015,10,35,17
01/01/2018,77016,6,38,19
01/01/2018,77018,8,34,19
01/01/2018,77019,10,37,17
01/01/2018,77020,10,35,17
01/01/2018,77021,9,38,17
01/01/2018,77022,4,36,17
01/01/2018,77023,9,34,19
01/01/2018,77024,10,34,17
01/01/2018,77025,10,37,17
01/01/2018,77026,10,35,17
01/01/2018,77027,9,38,19
01/01/2018,77028,9,34,17
01/01/2018,77029,7,34,19
01/01/2018,77030,10,34,17
01/01/2018,77031,8,34,19
01/01/2018,77032,10,35,17
01/01/2018,77033,10,35,17
01/01/2018,77034,6,34,19
01/01/2018,77035,9,38,17
01/01/2018,77036,10,35,17
01/01/2018,77037,5,35,19
01/01/2018,77038,5,34,19
01/01/2018,77039,6,34,19
01/01/2018,77040,6,35,19
01/01/2018,77041,8,38,19
01/01/2018,77042,10,34,17
01/01/2018,77043,10,34,17
01/01/2018,77044,8,35,17
01/01/2018,77045,8,38,19
01/01/2018,77046,8,38,19
01/01/2018,77047,8,34,19
01/01/2018,77048,3,38,19
01/01/2018,77049,8,34,19
01/01/2018,77050,8,38,19
01/01/2018,77051,10,36,17
01/01/2018,77052,7,35,17
01/01/2018,77053,7,33,20
01/01/2018,77054,9,38,17
01/01/2018,77055,8,33,19
01/01/2018,77056,7,38,19
01/01/2018,77057,10,34,17
01/01/2018,77058,7,33,19
01/01/2018,77059,7,33,19
01/01/2018,77060,8,38,19
01/01/2018,77061,8,38,17
01/01/2018,77062,8,33,19
01/01/2018,77063,8,34,19
01/01/2018,77065,6,36,17
01/01/2018,77066,10,35,17
01/01/2018,77067,6,34,19
01/01/2018,77068,10,35,17
01/01/2018,77069,4,35,17
01/01/2018,77070,9,34,17
01/01/2018,77071,8,38,19
01/01/2018,77072,10,35,17
01/01/2018,77073,10,35,17
01/01/2018,77075,8,33,19
01/01/2018,77076,10,35,17
01/01/2018,77077,9,34,19
01/01/2018,77078,10,34,17
01/01/2018,77079,5,37,17
01/01/2018,77080,10,35,17
01/01/2018,77081,6,34,19
01/01/2018,77082,7,34,19
01/01/2018,77083,7,33,19
01/01/2018,77084,9,34,17
01/01/2018,77085,7,33,19
01/01/2018,77086,8,35,17
01/01/2018,77087,9,34,17
01/01/2018,77088,5,38,19
01/01/2018,77089,8,36,17
01/01/2018,77090,10,35,17
01/01/2018,77091,8,34,19
01/01/2018,77093,10,34,17
01/01/2018,77094,8,33,19
01/01/2018,77095,9,33,19
01/01/2018,77096,5,35,19
01/01/2018,77097,10,34,17
01/01/2018,77098,10,35,17
01/01/2018,77099,9,38,19
01/01/2018,77100,6,35,17
01/01/2018,77101,10,37,17
01/01/2018,77102,6,38,19
01/01/2018,77103,7,35,19
01/01/2018,77104,7,34,19
01/01/2018,77106,10,34,17
01/01/2018,77107,8,34,19
01/01/2018,77108,8,33,19
01/01/2018,77109,10,35,17
01/01/2018,77110,9,38,19
01/01/2018,77111,8,33,19
01/01/2018,77112,6,38,19
01/01/2018,77113,10,34,17
01/01/2018,77114,7,33,19
01/01/2018,77115,8,38,17
01/01/2018,77116,10,34,17
01/01/2018,77117,10,34,17
01/01/2018,77118,9,33,19
01/01/2018,77119,9,35,17
01/01/2018,77120,10,34,17
01/01/2018,77121,7,33,19
01/01/2018,77122,6,33,20
01/01/2018,77123,9,33,19
01/01/2018,77124,7,33,19
01/01/2018,77125,8,34,19
01/01/2018,77126,9,34,17
01/01/2018,77127,7,33,19
01/01/2018,77128,8,34,19
01/01/2018,77129,10,34,17
01/01/2018,77130,8,34,19
01/01/2018,77131,9,34,17
01/01/2018,77132,8,33,19
01/01/2018,77133,9,37,17
01/01/2018,77134,10,35,17
01/01/2018,77135,9,34,19
01/01/2018,77136,7,33,19
01/01/2018,77137,10,35,17
01/01/2018,77138,8,34,19
01/01/2018,77139,8,33,19
01/01/2018,77140,9,36,17
01/01/2018,77141,8,34,19
01/01/2018,77142,8,34,19
01/01/2018,77143,9,34,19
01/01/2018,77144,8,34,19
01/01/2018,77145,6,34,19
01/01/2018,77146,7,33,19
01/01/2018,77147,10,35,17
01/01/2018,77148,10,33,17
01/01/2018,77149,10,35,17
01/01/2018,77150,9,34,19
01/01/2018,77151,10,34,17
01/01/2018,77152,5,35,19
01/01/2018,77153,9,34,17
01/01/2018,77154,8,34,19
01/01/2018,77155,8,33,19
01/01/2018,77156,5,38,19
01/01/2018,77157,10,34,17
01/01/2018,77158,8,38,17
01/01/2018,77159,10,36,17
01/01/2018,77161,7,38,17
01/01/2018,77162,10,34,17
01/01/2018,77163,9,34,17
01/01/2018,77164,8,36,17
01/01/2018,77165,7,35,17
01/01/2018,77166,5,38,17
01/01/2018,77167,10,36,17
01/01/2018,77168,8,38,17
01/01/2018,77169,7,33,19
01/01/2018,77170,5,38,17
01/01/2018,77171,8,33,19
01/01/2018,77172,8,38,17
01/01/2018,77173,9,34,17
01/01/2018,77174,10,35,17
01/01/2018,77175,6,33,19
01/01/2018,77176,9,34,17
01/01/2018,77177,8,33,19
01/01/2018,77178,6,38,19
01/01/2018,77179,6,36,17
01/01/2018,77180,7,33,19
01/01/2018,77181,7,33,19
01/01/2018,77182,10,34,17
01/01/2018,77183,10,34,17
01/01/2018,77184,7,38,17
01/01/2018,77185,5,36,17
01/01/2018,77186,5,38,19
01/01/2018,77187,10,35,17
01/01/2018,77188,5,35,17
01/01/2018,77190,9,35,17
01/01/2018,77191,9,35,17
01/01/2018,77192,8,34,19
01/01/2018,77193,9,34,17
01/01/2018,77194,8,37,17
01/01/2018,77195,6,34,19
01/01/2018,77196,8,33,19
01/01/2018,77197,10,35,17
01/01/2018,77198,8,38,19
01/01/2018,77199,9,34,19
01/01/2018,77200,7,38,19
01/01/2018,77201,10,35,17
01/01/2018,77202,4,38,19
01/01/2018,77203,9,34,17
01/01/2018,77204,10,34,17
01/01/2018,77205,9,34,17
01/01/2018,77206,9,34,17
01/01/2018,77207,9,38,19
01/01/2018,77208,10,35,17
01/01/2018,77209,7,33,19
01/01/2018,77210,7,37,17
01/01/2018,77211,9,35,17
01/01/2018,77212,10,37,17
01/01/2018,77214,9,33,19
